年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,9,ﾄ ﾁ ｷﾞ,12.25,11664
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,10,ｸﾞ ﾝ ﾏ,112.83,46052
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,11,ｻ ｲ ﾀ ﾏ,5.08,19720
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,12,ﾁ ﾊﾞ,1143.95,840081
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,13,ﾄ ｳ ｷ ﾖ ｳ,1,2808
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,14,ｶ ﾅ ｶﾞ ﾜ,259.5,238701
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,20,ﾅ ｶﾞ ﾉ,4.9,14278
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,22,ｼ ｽﾞ ｵ ｶ,6559.33,5610422
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,5794.3,3008707
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,23,ｱ ｲ ﾁ,2159.86,7991357
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,24,ﾐ ｴ,89.61,65876
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,26,ｷ ﾖ ｳ ﾄ,129,71874
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,36,ﾄ ｸ ｼ ﾏ,2.27,38685
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,39,ｺ ｳ ﾁ,8623,7294514
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,40,ﾌ ｸ ｵ ｶ,42,222264
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,43,ｸ ﾏ ﾓ ﾄ,81.6,77760
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,44,ｵ ｵ ｲ ﾀ,70.83,81151
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,47,ｵ ｷ ﾅ ﾜ,4.91,27539
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,150,ﾕ ﾆ ﾕ ｳ,3601.15,2117133
27.10.,38010,ﾜｻﾋﾞﾙｲ,0,*ｺﾞｳｹｲ*,141.1,609228
27.10.,38010,ﾜｻﾋﾞﾙｲ,22,ｼ ｽﾞ ｵ ｶ,3,19980
27.10.,38010,ﾜｻﾋﾞﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,138.1,589248
27.10.,77100,ﾜｻﾋﾞ,0,*ｺﾞｳｹｲ*,112.1,599832
27.10.,77100,ﾜｻﾋﾞ,22,ｼ ｽﾞ ｵ ｶ,3,19980
27.10.,77100,ﾜｻﾋﾞ,221,ｼ ｽﾞ ｵ ｶ ｼ,109.1,579852
27.10.,77120,ｸｷﾜｻﾋﾞ,0,*ｺﾞｳｹｲ*,29,9396
27.10.,77120,ｸｷﾜｻﾋﾞ,221,ｼ ｽﾞ ｵ ｶ ｼ,29,9396
27.10.,38020,ﾈｼﾖｳｶﾞﾙｲ,0,*ｺﾞｳｹｲ*,11753.9,8302257
27.10.,38020,ﾈｼﾖｳｶﾞﾙｲ,12,ﾁ ﾊﾞ,1079,646380
27.10.,38020,ﾈｼﾖｳｶﾞﾙｲ,22,ｼ ｽﾞ ｵ ｶ,27.5,10395
27.10.,38020,ﾈｼﾖｳｶﾞﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,12,5400
27.10.,38020,ﾈｼﾖｳｶﾞﾙｲ,39,ｺ ｳ ﾁ,7621.8,6289704
27.10.,38020,ﾈｼﾖｳｶﾞﾙｲ,43,ｸ ﾏ ﾓ ﾄ,57.6,54432
27.10.,38020,ﾈｼﾖｳｶﾞﾙｲ,150,ﾕ ﾆ ﾕ ｳ,2956,1295946
27.10.,77260,ﾈｼﾖｳｶﾞ,0,*ｺﾞｳｹｲ*,91.6,108486
27.10.,77260,ﾈｼﾖｳｶﾞ,39,ｺ ｳ ﾁ,91.6,108486
27.10.,77230,ｶｺｲｼﾖｳｶﾞ,0,*ｺﾞｳｹｲ*,10543.8,7531596
27.10.,77230,ｶｺｲｼﾖｳｶﾞ,39,ｺ ｳ ﾁ,7530.2,6181218
27.10.,77230,ｶｺｲｼﾖｳｶﾞ,43,ｸ ﾏ ﾓ ﾄ,57.6,54432
27.10.,77230,ｶｺｲｼﾖｳｶﾞ,150,ﾕ ﾆ ﾕ ｳ,2956,1295946
27.10.,77240,ｵﾔｼﾖｳｶﾞ,0,*ｺﾞｳｹｲ*,2,1080
27.10.,77240,ｵﾔｼﾖｳｶﾞ,221,ｼ ｽﾞ ｵ ｶ ｼ,2,1080
27.10.,77250,ｼﾝｼﾖｳｶﾞ,0,*ｺﾞｳｹｲ*,1116.5,661095
27.10.,77250,ｼﾝｼﾖｳｶﾞ,12,ﾁ ﾊﾞ,1079,646380
27.10.,77250,ｼﾝｼﾖｳｶﾞ,22,ｼ ｽﾞ ｵ ｶ,27.5,10395
27.10.,77250,ｼﾝｼﾖｳｶﾞ,221,ｼ ｽﾞ ｵ ｶ ｼ,10,4320
27.10.,38030,ﾊｼﾖｳｶﾞﾙｲ,0,*ｺﾞｳｹｲ*,115,61927
27.10.,38030,ﾊｼﾖｳｶﾞﾙｲ,12,ﾁ ﾊﾞ,1,1080
27.10.,38030,ﾊｼﾖｳｶﾞﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,35,3175
27.10.,38030,ﾊｼﾖｳｶﾞﾙｲ,23,ｱ ｲ ﾁ,79,57672
27.10.,77210,ﾊｼﾖｳｶﾞ,0,*ｺﾞｳｹｲ*,35,3175
27.10.,77210,ﾊｼﾖｳｶﾞ,221,ｼ ｽﾞ ｵ ｶ ｼ,35,3175
27.10.,77211,ﾒｼﾖｳｶﾞ,0,*ｺﾞｳｹｲ*,1,1080
27.10.,77211,ﾒｼﾖｳｶﾞ,12,ﾁ ﾊﾞ,1,1080
27.10.,77220,ﾓﾔｼｼﾖｳｶﾞ,0,*ｺﾞｳｹｲ*,79,57672
27.10.,77220,ﾓﾔｼｼﾖｳｶﾞ,23,ｱ ｲ ﾁ,79,57672
27.10.,38040,ﾄｳｶﾞﾗｼﾙｲ,0,*ｺﾞｳｹｲ*,216.8,161375
27.10.,38040,ﾄｳｶﾞﾗｼﾙｲ,22,ｼ ｽﾞ ｵ ｶ,85.2,89166
