所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
Ｍ＆Ｍ太田町,静岡市葵区太田町４番地,Ｍ＆Ｍ太田町,5,0,共同住宅
大間茶業協同組合,静岡市葵区大間２６６番地の８,大間茶業協同組合,1,0,作業場
サンシティ榊,静岡市葵区大岩一丁目１番２６号,サンシティ榊,3,0,共同住宅
株式会社　前田園,静岡市葵区大岩一丁目１番５号,株式会社　前田園,3,0,倉庫
吉田ハイツ,静岡市葵区大岩一丁目２番１０号,吉田ハイツ,2,0,共同住宅
ディーグランセ大岩,静岡市葵区大岩一丁目３番１７号,ディーグランセ大岩,6,0,共同住宅
静岡ハイツ,静岡市葵区大岩一丁目３番３３号,静岡ハイツ,3,0,共同住宅
サーパス大岩,静岡市葵区大岩一丁目４番１０号,サ－パス大岩,6,1,共同住宅
株式会社　墨仁堂,静岡市葵区大岩一丁目４番４号,株式会社　墨仁堂,3,0,作業場
サンピュア・グリーン,静岡市葵区大岩一丁目５番１７号,サンピュア・グリーン,2,0,共同住宅
アルス大岩,静岡市葵区大岩一丁目６番１７号,アルス大岩,3,0,共同住宅
ＮＴＴ大岩独身寮,静岡市葵区大岩一丁目６番２６号,ＮＴＴ大岩独身寮,2,0,寄宿舎
信金中央金庫大岩寮,静岡市葵区大岩一丁目６番２号,信金中央金庫大岩寮,2,0,共同住宅
メゾン・ソレイユ,静岡市葵区大岩一丁目６番５９号,メゾン・ソレイユ,2,0,共同住宅
アクタガワハートライフ大岩,静岡市葵区大岩一丁目８番１４号,アクタガワハートライフ大岩,3,0,有料老人ホーム(ロ)
リーベル城北,静岡市葵区大岩一丁目８番２５号,リーベル城北,3,0,共同住宅
Maison　de　Verre,静岡市葵区大岩一丁目８番３６号,Maison　de　Verre,3,0,共同住宅
大岩レジデンス,静岡市葵区大岩一丁目９番２３号,大岩レジデンス,3,0,共同住宅
シャルム正栄,静岡市葵区大岩宮下町１２番２,シャルム正栄,3,0,共同住宅
メゾン・グランツ大岩宮下,静岡市葵区大岩宮下町３番１号,メゾン・グランツ大岩宮下,5,0,共同住宅
Ｋ’ｓガーデン,静岡市葵区大岩宮下町６番地の４,Ｋ’ｓガーデン,3,0,共同住宅
オレンジ大岩店,静岡市葵区大岩三丁目１０番１号,オレンジ大岩店,2,0,物品販売店舗
カーサ・ミワ,静岡市葵区大岩三丁目１６番１３号,カーサ・ミワ,2,0,共同住宅
コーポラス市川,静岡市葵区大岩三丁目１８番１９号,コーポラス市川,3,0,共同住宅
グランメール,静岡市葵区大岩三丁目２１番１１号,グランメール,3,0,共同住宅
サンライズ大岩,静岡市葵区大岩三丁目２１番３号,サンライズ大岩,2,0,共同住宅
シャルム大岩,静岡市葵区大岩三丁目２４番５号,シャルム大岩,6,0,共同住宅
ピュア大岩,静岡市葵区大岩三丁目２５番２６号,ピュア大岩,2,0,共同住宅
クレセール大岩Ａ,静岡市葵区大岩三丁目２５番２８号,クレセール大岩Ａ,2,0,共同住宅
クレセール大岩Ｂ,静岡市葵区大岩三丁目２５番３０号,クレセール大岩Ｂ,2,0,共同住宅
大岩コーポ,静岡市葵区大岩三丁目２６番２４号,大岩コーポ,2,0,共同住宅
ＧＲＡＮＳＴＯＲＫ大岩,静岡市葵区大岩三丁目２６番５号,ＧＲＡＮＳＴＯＲＫ大岩,3,0,共同住宅
Ｄｅｌｉｇｈｔ,静岡市葵区大岩三丁目２６番８号,Ｄｅｌｉｇｈｔ,2,0,共同住宅
エントピアＢ,静岡市葵区大岩三丁目２８番１５号,エントピアＢ,2,0,共同住宅
イースター,静岡市葵区大岩三丁目２８番３１号,イースター,2,0,共同住宅
タウンスクエア,静岡市葵区大岩三丁目２９番１３号,タウンスクエア,2,0,共同住宅
Ｔｉｅｒｒａ　Ｓ,静岡市葵区大岩三丁目２番２０号,Ｔｉｅｒｒａ　Ｓ,3,0,特定複合用途
宗教法人天徳院,静岡市葵区大岩三丁目３０番３４号,宗教法人天徳院,2,0,寺院
アーバン大岩,静岡市葵区大岩三丁目７番２０号,アーバン大岩,2,0,共同住宅
グリーンコート大岩,静岡市葵区大岩三丁目８番１８号,グリーンコート大岩,4,0,共同住宅
クレア　オオイワ,静岡市葵区大岩三丁目８番２号,クレア　オオイワ,2,0,共同住宅
ガーデナハイツ,静岡市葵区大岩三丁目９番１１号,ガーデナハイツ,2,0,共同住宅
フレア大岩,静岡市葵区大岩三丁目９番１２号,フレア大岩,2,0,共同住宅
エスティーム,静岡市葵区大岩四丁目,エスティーム,2,0,共同住宅
大岩ハイム,静岡市葵区大岩四丁目１４番１０号,大岩ハイム,3,0,共同住宅
静岡県支払基金大岩宿舎,静岡市葵区大岩四丁目１４番５号,静岡県支払基金大岩宿舎,2,0,共同住宅
フレグランス大岩,静岡市葵区大岩四丁目１７番３号,フレグランス大岩,2,0,共同住宅
マンション加藤,静岡市葵区大岩四丁目１番２０号,マンション加藤,3,0,共同住宅
ソシア大岩,静岡市葵区大岩四丁目２０番２１号,ソシア大岩,2,0,共同住宅
ツールドヒル,静岡市葵区大岩四丁目２０番２６号,ツ－ルドヒル,3,0,共同住宅
フラットバレー大岩,静岡市葵区大岩四丁目２０番２８号,フラットバレー大岩,3,0,共同住宅
サングリーン大岩,静岡市葵区大岩四丁目２１番１１号,サングリーン大岩,1,0,物品販売店舗
サングリーン大岩,静岡市葵区大岩四丁目２１番１１号,サングリーン大岩,1,0,物品販売店舗
ローソン静岡大岩四丁目店,静岡市葵区大岩四丁目２１番１２号,ローソン静岡大岩四丁目店,1,0,物品販売店舗
セントポーリア大岩,静岡市葵区大岩四丁目２１番８号,セントポーリア大岩,4,0,共同住宅
ソワサント栗ノ木,静岡市葵区大岩四丁目２２番１４号,ソワサント栗ノ木,2,0,共同住宅
セピア平ヶ谷,静岡市葵区大岩四丁目２３番１２号,セピア平ヶ谷,3,0,共同住宅
コーポ石割,静岡市葵区大岩四丁目２３番１５号,コーポ石割,3,0,共同住宅
シェヌ五反田,静岡市葵区大岩四丁目２５番１号,シェヌ五反田,5,0,共同住宅
シャトル大岩,静岡市葵区大岩四丁目２５番３６号,シャトル大岩,3,0,共同住宅
医療法人社団　秀明会　城北公園クリニック,静岡市葵区大岩四丁目２５番４３号,城北公園クリニック,2,0,診療所
ルミエール大岩,静岡市葵区大岩四丁目２番２８号,ルミエ－ル大岩,3,0,共同住宅
セゾン大岩Ａ棟・Ｂ棟,静岡市葵区大岩四丁目３０番１３号,セゾン大岩Ａ棟,2,0,共同住宅
セゾン大岩Ａ棟・Ｂ棟,静岡市葵区大岩四丁目３０番１３号,セゾン大岩Ｂ棟,2,0,共同住宅
三和室内装備株式会社,静岡市葵区大岩四丁目３０番５号,三和室内装備株式会社,3,0,倉庫
グループホームこもれび,静岡市葵区大岩四丁目３４番１７号,グループホームこもれび,2,0,認対型老人共同生活
警察本部大岩平ヶ谷独身寮,静岡市葵区大岩四丁目３５番３１号,警察本部大岩平ヶ谷独身寮,4,0,共同住宅
警察本部大岩平ケ谷待機宿舎,静岡市葵区大岩四丁目３５番３３号,警察本部大岩平ケ谷待機宿舎,3,0,共同住宅
アーバンライフ平ケ谷,静岡市葵区大岩四丁目３５番７号,アーバンライフ平ケ谷,2,0,共同住宅
城北パークホームズ,静岡市葵区大岩四丁目３７番１９号,城北パ－クホ－ムズ,3,0,特定複合用途
あいネットグループ花工房,静岡市葵区大岩四丁目３８番２３号,あいネットグループ花工房,2,0,特定複合用途
コアパレス大岩,静岡市葵区大岩四丁目４５番１１号,コアパレス大岩,2,0,共同住宅
エクセルパーク,静岡市葵区大岩四丁目４５番２０号,エクセルパ－ク,4,0,共同住宅
(有)三友加工作業所,静岡市葵区大岩四丁目４５番２３号,(有)三友加工作業所,2,0,(１２)項イ  その他
(有)三友加工作業所,静岡市葵区大岩四丁目４５番２３号,(有)三友加工作業所,3,0,倉庫
マンション　サクラ,静岡市葵区大岩四丁目４６番２６号,マンション　サクラ,3,0,共同住宅
サンコーポ大岩,静岡市葵区大岩四丁目４番１８号,サンコーポ大岩,3,0,共同住宅
レジデンス杉山,静岡市葵区大岩四丁目４番２６号,レジデンス杉山,3,0,非特定複合用途
大岩ハイデンス,静岡市葵区大岩四丁目６番２０号,大岩ハイデンス,6,0,共同住宅
マンションＩＴＯ,静岡市葵区大岩町１０番１７号,マンションＩＴＯ,3,0,非特定複合用途
プロパティ幸和,静岡市葵区大岩町１１番１１号,プロパティ幸和,2,0,共同住宅
ピーターパンあおいの杜,静岡市葵区大岩町１１番３７号,ピーターパンあおいの杜,2,0,飲食店
学校法人城北学園てるみ幼稚園,静岡市葵区大岩町１２番３７号,学校法人城北学園てるみ幼稚園,2,0,幼稚園
藤コーポ,静岡市葵区大岩町１２番４３号,藤コーポ,3,0,共同住宅
サンピュア大岩,静岡市葵区大岩町１３番１５号,サンピュア大岩,2,0,共同住宅
シティハイム大岩　Ａ棟　Ｂ棟,静岡市葵区大岩町１３番６号,シティハイム大岩Ａ棟,2,0,共同住宅
シティハイム大岩　Ａ棟　Ｂ棟,静岡市葵区大岩町１３番６号,シティハイム大岩Ｂ棟,2,0,共同住宅
国立大学法人静岡大学教育学部附属幼稚園,静岡市葵区大岩町１番１０号,静岡大学教育学部付属幼稚園園舎Ａ棟,2,0,幼稚園
国立大学法人静岡大学教育学部附属幼稚園,静岡市葵区大岩町１番１０号,静岡大学教育学部付属幼稚園園舎Ｂ棟,1,0,幼稚園
国立大学法人静岡大学教育学部附属幼稚園,静岡市葵区大岩町１番１０号,静岡大学教育学部付属幼稚園園舎Ｃ棟,1,0,幼稚園
静岡大学教育学部附属特別支援学校,静岡市葵区大岩町１番１５号,特別支援学校（中学・高校棟）,2,0,特別支援学校
静岡大学教育学部附属特別支援学校,静岡市葵区大岩町１番１５号,特別支援学校（小学棟）,1,0,特別支援学校
静岡大学教育学部附属特別支援学校,静岡市葵区大岩町１番１５号,特別支援学校（体育館）,1,0,特別支援学校
静岡大学教育学部附属特別支援学校,静岡市葵区大岩町１番１５号,特別支援学校（生活棟ゆうゆう館）,2,0,特別支援学校
第２大岩ハイデンス,静岡市葵区大岩町２番１０号,第２大岩ハイデンス,5,0,共同住宅
メゾンヴァンベール大岩,静岡市葵区大岩町２番４８号,メゾンヴァンベ－ル大岩,3,1,共同住宅
タウニー長谷川Ａ棟,静岡市葵区大岩町２番５０号,タウニー長谷川Ａ棟,2,0,共同住宅
タウニー長谷川Ｂ棟,静岡市葵区大岩町２番５１号,タウニー長谷川Ｂ棟,2,0,共同住宅
メゾン・グランツ大岩,静岡市葵区大岩町２番６０号,メゾン・グランツ大岩,5,0,共同住宅
ディモア・ピア,静岡市葵区大岩町３番１０号,ディモア・ピア,3,0,共同住宅
コーポＳ,静岡市葵区大岩町３番１号,コーポＳ,2,0,共同住宅
静岡市立静岡看護専門学校寄宿舎友樹寮,静岡市葵区大岩町３番２５号,静岡市立静岡看護専門学校寄宿舎友樹寮,4,0,倉庫
アネックス大岩,静岡市葵区大岩町３番２８号,アネックス大岩,2,0,共同住宅
杉山マンション,静岡市葵区大岩町３番２号,杉山マンション,2,0,共同住宅
みどりのふきたクリニック,静岡市葵区大岩町４番２３号,みどりのふきたクリニック,2,0,特定複合用途
和鮨,静岡市葵区大岩町４番５０号,和鮨,3,0,特定複合用途
洋服の青山静岡大岩店,静岡市葵区大岩町４番６６号,洋服の青山静岡大岩店,2,0,物品販売店舗
海野ハイツ,静岡市葵区大岩町４番７７号,海野ハイツ,2,0,共同住宅
ドミトリー静岡,静岡市葵区大岩町４番９２号,ドミトリ－静岡,5,0,寄宿舎
ドミトリー静岡,静岡市葵区大岩町４番９２号,ドミトリ－静岡,2,0,駐車場
大岩県職員住宅,静岡市葵区大岩町４番９８号,大岩県職員住宅,4,0,共同住宅
井鍋貸家,静岡市葵区大岩町５番１９号,井鍋貸家,2,0,特定複合用途
中国料理店　桂花,静岡市葵区大岩町５番３号,中国料理店　桂花,2,0,飲食店
茶話本舗静岡デイサービス大岩の家,静岡市葵区大岩町５番７号,茶話本舗静岡デイサービス大岩の家,2,0,(６)項ロ　その他
城北パークサイド,静岡市葵区大岩町５番９号,城北パークサイド,3,1,共同住宅
宗教法人臨済寺,静岡市葵区大岩町７番１号,本堂・庫裏・書院,2,0,文化財
宗教法人臨済寺,静岡市葵区大岩町７番１号,開山堂・座禅堂・居士寮・侍者寮・上屋,1,0,寺院
宗教法人臨済寺,静岡市葵区大岩町７番１号,仏殿,1,0,寺院
宗教法人臨済寺,静岡市葵区大岩町７番１号,待合,1,0,寺院
宗教法人臨済寺,静岡市葵区大岩町７番１号,倉庫,1,0,(１１)項  その他
メゾンシルク,静岡市葵区大岩町８番２０号,メゾンシルク,2,0,共同住宅
静岡県立大学大岩住宅,静岡市葵区大岩町９番１２号,静岡県立大学大岩住宅,2,0,共同住宅
サンピュア,静岡市葵区大岩町９番３３号,サンピュア　パール,2,0,共同住宅
サンピュア,静岡市葵区大岩町９番３３号,サンピュア　ルビー,2,0,共同住宅
サンピュア,静岡市葵区大岩町９番３３号,サンピュア　ダイヤ,2,0,共同住宅
サンピュアＪ,静岡市葵区大岩町９番４５号,サンピュアＪ,2,0,共同住宅
パークヒル,静岡市葵区大岩町９番６５号,パ－クヒル,3,0,非特定複合用途
ウィスティリア大岩,静岡市葵区大岩二丁目１１番１３号,ウィスティリア大岩,6,0,共同住宅
メゾンヒロセ,静岡市葵区大岩二丁目１３番２０号,メゾンヒロセ,3,0,共同住宅
大岩Ｂ－４,静岡市葵区大岩二丁目１４番１６号,大岩Ｂ－４,2,0,共同住宅
東海理機株式会社,静岡市葵区大岩二丁目１４番２０号,東海理機株式会社,3,0,事務所
サンピュア・フジイ,静岡市葵区大岩二丁目１６番９号,サンピュア　フジイ,2,0,共同住宅
株式会社戸田書店城北店,静岡市葵区大岩二丁目１番１８号,株式会社戸田書店城北店,1,0,物品販売店舗
サークルＫ静岡大岩二丁目店,静岡市葵区大岩二丁目１番２２号,サークルＫ静岡大岩二丁目店,1,0,物品販売店舗
大岩二丁目集会場,静岡市葵区大岩二丁目１番２４号,大岩二丁目集会場,2,0,集会場
大岩第２宿舎,静岡市葵区大岩二丁目２２番１３号,大岩第２宿舎,4,0,寄宿舎
大岩コーポ,静岡市葵区大岩二丁目２２番１号,大岩コーポ,3,0,共同住宅
コーポ望月,静岡市葵区大岩二丁目２２番２号,コーポ望月,3,0,共同住宅
株式会社　清水銀行大岩支店,静岡市葵区大岩二丁目２５番２５号,株式会社　清水銀行大岩支店,2,0,銀行・証券会社等
メゾン・ブラン,静岡市葵区大岩二丁目２７番１号,メゾン・ブラン,3,0,特定複合用途
ランドール大岩,静岡市葵区大岩二丁目２８番９号,ランドール大岩,3,0,共同住宅
有限会社沢原工務店,静岡市葵区大岩二丁目２番１６号,有限会社沢原工務店,2,0,非特定複合用途
グレース大岩,静岡市葵区大岩二丁目３０番３号,グレース大岩,2,0,共同住宅
日本政策金融公庫静岡寮,静岡市葵区大岩二丁目３２番１３号,日本政策金融公庫静岡寮,3,0,共同住宅
カーテン工房まど,静岡市葵区大岩二丁目３７番１２号,カーテン工房まど,4,0,特定複合用途
アーバンライフ大岩,静岡市葵区大岩二丁目３８番８号,ア－バンライフ大岩,3,0,非特定複合用途
セレナーデ,静岡市葵区大岩二丁目３９番１５号,セレナーデ,4,0,共同住宅
ロイヤル大岩,静岡市葵区大岩二丁目４０番１２号,ロイヤル大岩,5,0,共同住宅
グランアネシス大岩,静岡市葵区大岩二丁目４０番８号,グランアネシス大岩,5,0,共同住宅
メゾンＩ＆Ｉ,静岡市葵区大岩二丁目４３番１２号,メゾンＩ＆Ｉ,3,0,共同住宅
メゾン大岩,静岡市葵区大岩二丁目４４番１０号,メゾン大岩,3,0,共同住宅
サンハイム大岩,静岡市葵区大岩二丁目４６番２０号,サンハイム大岩,3,1,共同住宅
コンシェール大岩,静岡市葵区大岩二丁目４６番９号,コンシェール大岩,2,0,共同住宅
レオパレス２１リジェール,静岡市葵区大岩二丁目４８番２１号,レオパレス２１リジェ－ル,2,0,共同住宅
ソルジェンテ大岩,静岡市葵区大岩二丁目４９番２号,ソルジェンテ大岩,3,0,共同住宅
アメニティハイツ,静岡市葵区大岩二丁目４９番９号,アメニティハイツ,2,0,共同住宅
ツインヴィラＩ,静岡市葵区大岩二丁目４番５号,ツインヴィラＩ,3,0,共同住宅
Ｓｅｌｅｃｔ大岩,静岡市葵区大岩二丁目４番７号,Ｓｅｌｅｃｔ大岩,6,0,非特定複合用途
原木コーポ,静岡市葵区大岩二丁目５番４号,原木コーポ,2,0,共同住宅
ドムアンＳＳ,静岡市葵区大岩二丁目６番１２号,ドムアンＳＳ,3,0,共同住宅
有限会社　むぎ,静岡市葵区大岩二丁目７番２７号,有限会社　むぎ,1,0,物品販売店舗
ぷらいすれす,静岡市葵区大岩本町１０番,ぷらいすれす,2,0,放課後等デイサービス
育栄荘,静岡市葵区大岩本町１０番１０号,育栄荘,2,0,共同住宅
プランドール森,静岡市葵区大岩本町１１番１４号,プランドール森,2,0,共同住宅
コーポ大岩,静岡市葵区大岩本町１１番２２号,コーポ大岩,2,0,共同住宅
Charmant(シャルマン),静岡市葵区大岩本町１４番１４号,Charmant(シャルマン),3,0,共同住宅
ルナピエーナＡ,静岡市葵区大岩本町１４番１号,ルナピエーナＡ棟,2,0,共同住宅
ルナピエーナＢ,静岡市葵区大岩本町１４番１号,ルナピエーナＢ,2,0,共同住宅
静岡市農業協同組合安東支店,静岡市葵区大岩本町１５番２１号,静岡市農業協同組合安東支店,2,0,事務所
静岡警察寮,静岡市葵区大岩本町１６番１１号,静岡警察寮,3,0,寄宿舎
レオパレス城内,静岡市葵区大岩本町１７番２２号,レオパレス城内,2,0,共同住宅
ハニーサックル,静岡市葵区大岩本町１７番９号,ハニーサックル,3,0,飲食店
メゾンＩ,静岡市葵区大岩本町１８番１６号,メゾンＩ,3,0,共同住宅
マイネハイマート,静岡市葵区大岩本町１８番１９号,マイネ　ハイマート,3,0,共同住宅
織平マンションリヴⅡ,静岡市葵区大岩本町１番５号,織平マンションリヴⅡ,3,0,共同住宅
レオパレス大岩本町,静岡市葵区大岩本町１番７号,レオパレス大岩本町,2,0,共同住宅
メゾンハイジー,静岡市葵区大岩本町２１番１２号,メゾンハイジー,2,0,共同住宅
シティハイム　ライフ,静岡市葵区大岩本町２１番１４号,シティハイム　ライフ,2,0,共同住宅
メゾン大岩,静岡市葵区大岩本町２２番１７号,メゾン大岩,2,0,共同住宅
メゾンフルーリ,静岡市葵区大岩本町２３番２７号,メゾンフルーリ,3,0,共同住宅
医療法人社団ハル城北すぎやま整形外科医院,静岡市葵区大岩本町２３番７号,医療法人社団ハル城北すぎやま整形外科医院,2,0,診療所
フローラル城北,静岡市葵区大岩本町２５番,フローラル城北Ａ,2,0,共同住宅
フローラル城北,静岡市葵区大岩本町２５番,フローラル城北Ｂ,2,0,共同住宅
フローラル城北,静岡市葵区大岩本町２５番,フローラル城北Ｃ,2,0,共同住宅
宗教法人松源寺,静岡市葵区大岩本町２６番１号,宗教法人松源寺,1,0,寺院
宗教法人富春院,静岡市葵区大岩本町２６番２３号,宗教法人富春院,2,0,寺院
パークサイド城北,静岡市葵区大岩本町２６番３２号,パークサイド城北,3,0,非特定複合用途
サンシャインビル,静岡市葵区大岩本町２６番３号,サンシャインビル,3,0,特定複合用途
静岡市立静岡病院大岩医師住宅,静岡市葵区大岩本町２７番１１号,静岡市立静岡病院大岩医師住宅,3,0,寄宿舎
市役所大岩車庫,静岡市葵区大岩本町２７番１号,市役所大岩車庫（車庫・事務所）,2,0,自動車車庫
市役所大岩車庫,静岡市葵区大岩本町２７番１号,市役所大岩車庫（車庫）,1,0,自動車車庫
株式会社　田中忠雄建築設計事務所,静岡市葵区大岩本町２８番５号,株式会社　　田中忠雄建築設計事務所,3,0,非特定複合用途
サンクレア大岩本町,静岡市葵区大岩本町２８番６号,サンクレア大岩本町,3,0,共同住宅
静岡市立中央図書館,静岡市葵区大岩本町２９番１号,静岡市立中央図書館,2,1,図書館
ラ・ロンジュ,静岡市葵区大岩本町３番１０号,ラ・ロンジュ,2,0,共同住宅
アンジュ大岩本町,静岡市葵区大岩本町３番４号,アンジュ大岩本町,2,0,共同住宅
ファミーユ大岩本町,静岡市葵区大岩本町４番１８号,ファミーユ大岩本町,3,0,共同住宅
松成内科クリニック,静岡市葵区大岩本町７番１号,松成内科クリニック,3,0,特定複合用途
メゾンシャルーム,静岡市葵区大岩本町７番２２号,メゾンシャルーム,2,0,共同住宅
グレーシー山口,静岡市葵区大岩本町７番３２号,グレーシー山口,2,0,共同住宅
県営住宅大岩団地,静岡市葵区大岩本町９番１４号,県営住宅大岩団地,3,0,共同住宅
県営住宅大岩団地,静岡市葵区大岩本町９番１４号,県営住宅大岩団地集会場,1,0,集会場
メゾン・ラフィーニ,静岡市葵区大岩本町９番３０号,メゾン・ラフィーニ,3,0,共同住宅
エスペランス大岩本町,静岡市葵区大岩本町９番３１号,エスペランス大岩本町,3,0,共同住宅
清水マンション,静岡市葵区大鋸町２番地の１,清水マンション,3,0,共同住宅
さそう内科呼吸器科クリニック,静岡市葵区大鋸町２番地の５,さそう内科呼吸器科クリニック,2,0,診療所
宗教法人西福寺,静岡市葵区大鋸町４番地の８,宗教法人西福寺,2,0,寺院
ミルソレイユ大鋸町,静岡市葵区大鋸町５番地の５,ミルソレイユ大鋸町,10,0,共同住宅
茶懐石料理　御所丸,静岡市葵区大鋸町５番地の９,茶懐石料理　御所丸,2,0,特定複合用途
コルティーレ,静岡市葵区大鋸町６番地の３,コルティーレ,6,0,共同住宅
キャトルセゾン,静岡市葵区大鋸町７－１,キャトルセゾン,5,0,共同住宅
牧田駐車場,静岡市葵区大鋸町７番地の２,牧田駐車場,1,0,駐車場
宗教法人玄忠寺ルンビニー保育園,静岡市葵区大鋸町８番地の１,宗教法人玄忠寺ルンビニー保育園,2,0,保育所
宗教法人玄忠寺ルンビニー保育園,静岡市葵区大鋸町８番地の１,宗教法人玄忠寺ルンビニー保育園,1,0,保育所
宗教法人　玄忠寺,静岡市葵区大鋸町８番地の１,宗教法人　玄忠寺,2,0,寺院
シティ・オーガ,静岡市葵区大鋸町８番地の２０,シティ・オーガ,5,0,共同住宅
マルカブ佐藤製茶株式会社　菓子工場,静岡市葵区大原１１０６番地,マルカブ佐藤製茶株式会社（菓子工場）,2,0,特定複合用途
マルカブ佐藤製茶株式会社　,静岡市葵区大原１１４５番地,マルカブ佐藤製茶株式会社　仕上工場,2,0,工場
マルカブ佐藤製茶株式会社　,静岡市葵区大原１１４５番地,マルカブ佐藤製茶株式会社　荒茶工場,2,0,工場
マルカブ佐藤製茶株式会社　,静岡市葵区大原１１４５番地,マルカブ佐藤製茶株式会社　碾茶工場　,1,0,工場
静岡市立藁科学校給食センタ－,静岡市葵区大原１１４６番地の１,静岡市立藁科学校給食センタ－,2,0,作業場
静岡市立中藁科こども園,静岡市葵区大原１２３７番地,静岡市立中藁科こども園,2,0,保育所
マルカブ佐藤製茶株式会社　本社棟,静岡市葵区大原１３３３番地,マルカブ佐藤製茶株式会社（本社棟）,5,0,工場
マルカブ佐藤製茶株式会社　本社棟,静岡市葵区大原１３３３番地,マルカブ佐藤製茶株式会社（第２工場）,2,0,工場
マルカブ佐藤製茶株式会社　本社棟,静岡市葵区大原１３３３番地,マルカブ佐藤製茶株式会社（冷蔵庫棟）,1,0,倉庫
マルカブ佐藤製茶株式会社　本社棟,静岡市葵区大原１３３３番地,マルカブ佐藤製茶株式会社（荒茶工場）,2,0,工場
株式会社森田製茶,静岡市葵区大原１３６１番地の１,株式会社森田製茶,2,0,作業場
マルカブ佐藤製茶株式会社,静岡市葵区大原１３９６番地,マルカブ佐藤製茶株式会社（倉庫）,2,0,倉庫
マルカブ佐藤製茶株式会社,静岡市葵区大原１３９６番地,マルカブ佐藤製茶株式会社（茶冷蔵庫№１）,1,0,保冷倉庫
マルカブ佐藤製茶株式会社,静岡市葵区大原１３９６番地,マルカブ佐藤製茶株式会社（茶冷蔵庫№２）,1,0,保冷倉庫
静岡市立藁科中学校,静岡市葵区大原１３９８番地の１,静岡市立藁科中学校（校舎）,4,0,中学校
静岡市立藁科中学校,静岡市葵区大原１３９８番地の１,静岡市立藁科中学校（体育館）,2,0,中学校
株式会社森田製茶　第二冷蔵庫,静岡市葵区大原１４０９番地,株式会社森田製茶　第二冷蔵庫,1,0,倉庫
大原第一共同製茶組合,静岡市葵区大原１４０番地の１,大原第一共同製茶組合,1,0,工場
佐藤園食薬研究所,静岡市葵区大原１５４９番地の２,佐藤園研究所,2,0,事務所
藁科都市山村交流センターわらびこ,静岡市葵区大原１８３４番地,藁科都市山村交流センターわらびこ,1,0,集会場
東泉寺,静岡市葵区大原２９６番地,東泉寺,3,0,寺院
丸山秀島集会所,静岡市葵区大原３０６４番地の２６,丸山秀島集会所,1,0,集会場
株式会社平安堂法衣仏具店,静岡市葵区大原３０６５６５,株式会社平安堂法衣仏具店,2,0,工場
有限会社静信家具,静岡市葵区大原３０６５番地の３９,有限会社静信家具,1,0,工場
タツノコ自動車,静岡市葵区大原３０６５番地の９１,タツノコ自動車,2,0,工場
丸正杉山木材株式会社大原倉庫,静岡市葵区大原３０６６番地の１,丸正杉山木材株式会社大原倉庫（１）,1,0,倉庫
丸正杉山木材株式会社大原倉庫,静岡市葵区大原３０６６番地の１,丸正杉山木材株式会社大原倉庫（２）,1,0,倉庫
大原町内会上ヶ谷戸区会集会場,静岡市葵区大原６６０番地の３,大原町内会上ヶ谷戸区会集会場,1,0,集会場
ＪＡ静岡市中藁支店・藁科営農経済センター,静岡市葵区大原８７８番地の１,ＪＡ静岡市藁科営農経済センター集出荷場棟,1,0,作業場
ＪＡ静岡市中藁支店・藁科営農経済センター,静岡市葵区大原８７８番地の１,ＪＡ静岡市中藁支店・藁科営農経済センター,2,0,事務所
静岡市立藁科中学校寄宿舎,静岡市葵区大原９０１番地,静岡市立藁科中学校寄宿舎,3,0,寄宿舎
静岡市立中藁科小学校,静岡市葵区大原９４２番地の１,静岡市立中藁科小学校（校舎）,4,0,小学校
静岡市立中藁科小学校,静岡市葵区大原９４２番地の１,静岡市立中藁科小学校（体育館）,1,0,小学校
和田フ－ズ,静岡市葵区大原９９１番地,和田フ－ズ,2,0,工場
株式会社ミズサキ大工町倉庫,静岡市葵区大工町１番地の１０,株式会社ミズサキ大工町倉庫,4,0,倉庫
第２ロイヤルヴェッセル,静岡市葵区大工町２番地の１１,第２ロイヤルヴェッセル,5,0,共同住宅
宗教法人　福泉寺,静岡市葵区大工町４番地の１,宗教法人　福泉寺,2,0,寺院
有限会社　いとお,静岡市葵区大工町５番地の５,有限会社　いとお,3,0,特定複合用途
岩崎モータース,静岡市葵区大工町６番地の１０,岩崎モ－タ－ス,3,0,作業場
株式会社　金十字,静岡市葵区大工町６番地の３,株式会社　金十字,3,0,特定複合用途
シャンピア鷹匠,静岡市葵区鷹匠一丁目１０番２号,シャンピア鷹匠,5,0,特定複合用途
新鷹ビル,静岡市葵区鷹匠一丁目１０番６号,新鷹ビル,2,0,特定複合用途
新静岡スポーツクラブ,静岡市葵区鷹匠一丁目１１番１１号,新静岡スポーツクラブ,5,1,(１５)項  その他
ＭＩＣ新静岡,静岡市葵区鷹匠一丁目１１番１５号,ＭＩＣ新静岡,3,0,診療所
静岡調剤薬局　新静岡店,静岡市葵区鷹匠一丁目１１番４号,静岡調剤薬局　新静岡店,1,0,(４)項  その他
居酒屋 繁正 本店,静岡市葵区鷹匠一丁目１１番９号,居酒屋 繁正本店,2,0,飲食店
篠原ビル,静岡市葵区鷹匠一丁目１２番１２号,篠原ビル,6,0,特定複合用途
