所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
有限会社松本工業(松本プレス・松本製作所),静岡市清水区三保７５６番地,有限会社松本工業(松本プレス・松本製作所),2,0,作業場
カレッジラッシュ　Ａ・Ｂ・Ｃ,静岡市清水区三保７５８番地,カレッジラッシュ　Ｃ,2,0,共同住宅
株式会社ヤトミ興産,静岡市清水区三保７７１番地,株式会社ヤトミ興産,3,0,倉庫
カレッジラッシュ　Ｅ・Ｆ,静岡市清水区三保７７９番地の１,カレッジラッシュ　Ｅ,2,0,共同住宅
カレッジラッシュ　Ｅ・Ｆ,静岡市清水区三保７７９番地の１,カレッジラッシュ　Ｆ,2,0,共同住宅
株式会社静岡銀行三保支店,静岡市清水区三保７７番地の１,株式会社静岡銀行三保支店,2,0,銀行・証券会社等
有限会社　今井船舶,静岡市清水区三保７８２番地の２,有限会社　今井船舶,2,0,作業場
エコーフォレスト１号,静岡市清水区三保７８４番地の１,エコ－フォレスト１号,2,0,共同住宅
エコーフォレスト２号,静岡市清水区三保７８４番地の１,エコ－フォレスト２号,2,0,共同住宅
株式会社井上鉄工所,静岡市清水区三保８００番地の２,株式会社　井上鉄工所,3,0,作業場
萩野鉄工株式会社,静岡市清水区三保８００番地の３,萩野鉄工株式会社　作業所,1,0,作業場
富士断熱株式会社三保作業所,静岡市清水区三保８００番地の４,富士断熱株式会社三保作業所,2,0,倉庫
コーポ江湖Ⅰ・Ⅱ,静岡市清水区三保８４８番地の２,コーポ江湖Ⅰ,3,0,共同住宅
コーポ江湖Ⅰ・Ⅱ,静岡市清水区三保８４８番地の２,コーポ江湖Ⅱ,3,0,共同住宅
フェニックス,静岡市清水区三保８４番地の２,フェニックス,2,0,共同住宅
サンハイツ三保,静岡市清水区三保８５０番地の３,サンハイツ三保,4,0,共同住宅
コーポシャルマン,静岡市清水区三保８５５番地の２,コーポシャルマン,2,0,共同住宅
三井・デｭポン協力会社事務所,静岡市清水区三保８５８番地,三井・デｭポン協力会社事務所,2,0,事務所
宮方三区自治会館,静岡市清水区三保８７４番地の２,宮方三区自治会館,2,0,集会場
シティーハイムエンドウ,静岡市清水区三保８７７番地の１２,シティーハイムエンドウ,2,0,共同住宅
セゾン三保,静岡市清水区三保８７７番地の４,セゾン三保,2,0,共同住宅
エステートピア茶味,静岡市清水区三保８７７番地の５,エステートピア茶味,2,0,共同住宅
プレジール正栄,静岡市清水区三保８７８番地の１,プレジール正栄,2,0,共同住宅
コーポＳＥＮ,静岡市清水区三保８９１番地の１,コーポＳＥＮ,2,0,共同住宅
コーポⅢＳＥＮ,静岡市清水区三保８９１番地の２,コーポⅢＳＥＮ,2,0,共同住宅
カーサ・プラシード,静岡市清水区三保９１０番地の１,カーサ・プラシード,3,0,共同住宅
レオパレス　プレシオッサ,静岡市清水区三保９１０番地の４,レオパレス　プレシオッサ,2,0,共同住宅
有原医院,静岡市清水区三保９１５番地の２,有原医院,2,0,診療所
清水運送株式会社三保倉庫,静岡市清水区三保９１９番地の１,清水運送株式会社三保倉庫,2,0,倉庫
ホワイトキャッスル,静岡市清水区三保９１番地,ホワイトキャッスル,2,0,共同住宅
セブンイレブン清水三保店,静岡市清水区三保９２番地の２,セブンイレブン清水三保店,1,0,物品販売店舗
宮城島行平・静江貸店舗,静岡市清水区三保９２番地の４５,宮城島行平・静江貸店舗,2,0,特定複合用途
歯科クリニック三保,静岡市清水区三保９３２番地の１,歯科クリニック三保,3,0,特定複合用途
藤浪酒店,静岡市清水区三保９３４番地の１,藤浪酒店,2,0,特定複合用途
宮城島ガラス店,静岡市清水区三保９６２番地の４,宮城島ガラス店,2,0,非特定複合用途
センチュリー御穂Ａ・Ｂ・Ｃ,静岡市清水区三保９８３番地の１,センチュリー御穂Ｂ,2,0,共同住宅
センチュリー御穂Ａ・Ｂ・Ｃ,静岡市清水区三保９８３番地の１,センチュリー御穂Ｃ,2,0,共同住宅
C.A niwa,静岡市清水区山原１０番地の１,C.A niwa,2,0,作業場
静岡市立清水飯田中学校,静岡市清水区山原１１２番地の１,静岡市立清水飯田中学校　校舎棟,3,0,中学校
静岡市立清水飯田中学校,静岡市清水区山原１１２番地の１,静岡市立清水飯田中学校（体育館）,2,0,中学校
静岡市立清水飯田中学校,静岡市清水区山原１１２番地の１,静岡市立清水飯田中学校（技術室）,1,0,中学校
南海工業株式会社,静岡市清水区山原１２８番地の１,南海工業株式会社,3,0,作業場
メゾンフォルムＢ,静岡市清水区山原１３番地の１,メゾンフォルムＢ,2,0,共同住宅
池上塗料工業株式会社,静岡市清水区山原１４１番地の１,池上塗料工業株式会社,3,0,作業場
池上塗料工業株式会社,静岡市清水区山原１４１番地の１,池上塗料工業株式会社,1,0,作業場
有限会社　清水基工,静岡市清水区山原１４９番地の１,有限会社　清水基工,1,0,作業場
有限会社　清水基工,静岡市清水区山原１４９番地の１,有限会社　清水基工　事務所,2,0,事務所
有限会社　清水基工,静岡市清水区山原１４９番地の１,有限会社　清水基工,2,0,(１５)項  その他
ドルチェ,静岡市清水区山原１５番地の１,ドルチェ,2,0,共同住宅
藤津鉄工所,静岡市清水区山原１６６番地の１０,藤津鉄工所,2,0,作業場
メゾンフォルムＡ,静岡市清水区山原１７番地の１,メゾンフォルムＡ,2,0,共同住宅
パレーシャル山原,静岡市清水区山原１８９番地の３４,パレーシャル山原,2,0,共同住宅
有限会社 平工務店,静岡市清水区山原１９０番地の１,有限会社 平工務店,1,0,倉庫
ハミング,静岡市清水区山原１９９番地の１,ハミング,2,0,共同住宅
株式会社ウィン・ゲイン／アイム,静岡市清水区山原１番地の１,株式会社ウィン・ゲイン／アイム,2,0,特定複合用途
イベロジャパン株式会社,静岡市清水区山原２０番地の１１,イベロジャパン株式会社,1,0,作業場
株式会社　九州コーケン山原工場,静岡市清水区山原２０番地の１２,株式会社　九州コーケン山原工場,2,0,作業場
ミナトベンディング株式会社静岡工場,静岡市清水区山原２１０番地の１５,ミナトベンディング株式会社静岡工場,1,0,作業場
中部化学工業（株）,静岡市清水区山原２２０番地の６,中部化学工業（株）,1,0,作業場
明清電子株式会社,静岡市清水区山原２２０番地の８,明清電子株式会社,2,0,作業場
清水電装株式会社　第２工場,静岡市清水区山原２２０番地の９,清水電装株式会社　第2工場,2,0,作業場
エル・ケイ産業株式会社倉庫,静岡市清水区山原２２７番地の１,エル・ケイ産業株式会社,2,0,倉庫
ヴィラ．サンテ－ヌ,静岡市清水区山原２３２番地の１,ヴィラ．サンテ－ヌ,2,0,共同住宅
清水電装株式会社,静岡市清水区山原２８番地の１,清水電装株式会社,2,0,作業場
ジェルメゾン,静岡市清水区山原２９０番地の１０,ジェルメゾン,2,0,共同住宅
グローリー山原,静岡市清水区山原２９０番地の１１,グローリー山原,2,0,共同住宅
カサグランデ,静岡市清水区山原２９０番地の２,カサグランデ,2,0,共同住宅
シェリールＡ・Ｂ,静岡市清水区山原２９５番地の１５,シェリールＡ,2,0,共同住宅
シェリールＡ・Ｂ,静岡市清水区山原２９５番地の１５,シェリールＢ,2,0,共同住宅
エクレールⅡ,静岡市清水区山原２９５番地の１６,エクレールⅡ,2,0,共同住宅
エクレールⅢ,静岡市清水区山原２９５番地の６８,エクレールⅢ,2,0,共同住宅
明星アパート,静岡市清水区山原２９番地の１,明星アパート,2,0,共同住宅
ビューテラス,静岡市清水区山原３０５番地の５,ビューテラス,3,0,共同住宅
（有）フレンド動物病院,静岡市清水区山原３２０番地の１,（有）フレンド動物病院,2,0,(１５)項  その他
とんかつ　光富士,静岡市清水区山原３２０番地の１３,とんかつ　光富士,1,0,飲食店
アイリス　,静岡市清水区山原３２０番地の１４,アイリス,3,0,共同住宅
